x,y
6.9774,1.4333
6.9695,1.4467
6.9616,1.4600
6.9537,1.4733
6.9394,1.4867
6.9137,1.5000
6.8333,1.5039
6.5000,1.5068
6.1667,1.5091
5.8333,1.5115
5.5730,1.5133
5.5000,1.5139
5.1667,1.5162
4.8333,1.5183
4.5000,1.5160
4.1997,1.5133
4.1667,1.5130
3.8333,1.5101
3.5000,1.5072
3.1667,1.5043
2.8722,1.5000
2.8333,1.4931
2.8075,1.4867
2.7538,1.4733
2.7001,1.4600
2.6464,1.4467
2.5927,1.4333
2.5390,1.4200
2.5000,1.4103
2.4743,1.4067
2.3449,1.3933
2.1667,1.3826
2.1574,1.3800
2.1096,1.3667
2.0618,1.3533
2.0140,1.3400
1.9661,1.3267
1.9183,1.3133
1.8705,1.3000
1.8333,1.2896
1.8209,1.2867
1.7382,1.2733
1.5498,1.2600
1.5000,1.2581
1.1667,1.2513
1.0079,1.2467
0.8333,1.2416
0.7354,1.2333
0.5046,1.2200
0.5000,1.2198
0.3478,1.2067
0.1667,1.1935
0.1631,1.1933
0.1253,1.1800
0.0874,1.1667
0.0256,1.1533
-0.0681,1.1400
-0.1667,1.1308
-0.2178,1.1267
-0.3820,1.1133
-0.5000,1.1038
-0.5209,1.1000
-0.5842,1.0867
-0.6724,1.0733
-0.8038,1.0600
-0.8333,1.0577
-0.9525,1.0467
-1.0966,1.0333
-1.1667,1.0268
-1.2537,1.0200
-1.5000,1.0069
-1.5031,1.0067
-1.6159,0.9933
-1.7035,0.9800
-1.8333,0.9669
-1.8353,0.9667
-1.9476,0.9533
-2.0600,0.9400
-2.1667,0.9273
-2.1730,0.9267
-2.2994,0.9133
-2.4258,0.9000
-2.4542,0.8867
-2.4826,0.8733
-2.5000,0.8651
-2.5190,0.8600
-2.6514,0.8467
-2.8333,0.8379
-2.8930,0.8333
-3.0659,0.8200
-3.1667,0.8122
-3.2189,0.8067
-3.3382,0.7933
-3.4515,0.7800
-3.5000,0.7743
-3.5647,0.7667
-3.6779,0.7533
-3.7911,0.7400
-3.8333,0.7350
-3.9043,0.7267
-4.0175,0.7133
-4.1307,0.7000
-4.1667,0.6958
-4.2439,0.6867
-4.3571,0.6733
-4.4703,0.6600
-4.5000,0.6565
-4.5835,0.6467
-4.6967,0.6333
-4.8099,0.6200
-4.8333,0.6172
-4.8782,0.6067
-4.9349,0.5933
-4.9915,0.5800
-5.0482,0.5667
-5.1048,0.5533
-5.1615,0.5400
-5.1667,0.5388
-5.5000,0.5270
-5.5491,0.5267
-5.8333,0.5247
-6.1667,0.5224
-6.5000,0.5201
-6.8333,0.5178
-6.8847,0.5133
-7.1667,0.5048
-7.5000,0.5027
-7.8333,0.5007
-7.9454,0.5000
-7.8333,0.4988
-7.5000,0.4950
-7.1667,0.4913
-6.8333,0.4877
-6.6366,0.4867
-6.5000,0.4859
-6.1667,0.4844
-5.8333,0.4828
-5.5000,0.4812
-5.1667,0.4796
-4.8333,0.4780
-4.5000,0.4774
-4.1667,0.4770
-3.8333,0.4767
-3.5000,0.4763
-3.1667,0.4759
-2.8333,0.4756
-2.5000,0.4758
-2.1667,0.4760
-1.8333,0.4762
-1.5000,0.4765
-1.1667,0.4768
-0.8333,0.4771
-0.5000,0.4775
-0.1667,0.4777
0.1667,0.4780
0.5000,0.4782
0.8333,0.4783
1.1667,0.4784
1.5000,0.4784
1.8333,0.4785
2.1667,0.4784
2.5000,0.4784
2.8333,0.4783
3.1667,0.4780
3.5000,0.4778
3.8333,0.4775
4.1667,0.4773
4.5000,0.4770
4.8333,0.4768
5.1667,0.4767
5.5000,0.4766
5.8333,0.4765
6.1667,0.4764
6.5000,0.4763
6.8333,0.4769
7.1667,0.4782
7.5000,0.4795
7.8333,0.4808
8.1667,0.4821
8.5000,0.4834
8.8333,0.4848
9.1667,0.4861
9.3193,0.4867
9.5000,0.4874
9.8333,0.4950
10.1667,0.4994
10.2594,0.5000
10.1667,0.5012
9.9054,0.5133
9.8899,0.5267
9.8710,0.5400
9.8521,0.5533
9.8333,0.5666
9.8323,0.5667
9.7121,0.5800
9.5919,0.5933
9.5000,0.6035
9.4717,0.6067
9.3515,0.6200
9.2313,0.6333
9.1667,0.6405
9.1111,0.6467
8.9908,0.6600
8.8706,0.6733
8.8333,0.6775
8.7504,0.6867
8.6302,0.7000
8.5100,0.7133
8.5000,0.7144
8.3898,0.7267
8.2696,0.7400
8.1667,0.7514
8.1494,0.7533
8.0292,0.7667
7.9090,0.7800
7.8333,0.7884
7.7887,0.7933
7.7223,0.8067
7.7095,0.8200
7.6967,0.8333
7.6840,0.8467
7.6712,0.8600
7.6552,0.8733
7.6032,0.8867
7.5236,0.9000
7.5134,0.9133
7.5184,0.9267
7.5962,0.9400
7.6617,0.9533
7.7133,0.9667
7.8331,0.9800
7.8333,0.9801
7.8503,0.9933
7.8465,1.0067
7.8333,1.0139
7.8109,1.0200
7.6911,1.0333
7.6394,1.0467
7.5648,1.0600
7.5000,1.0703
7.4754,1.0733
7.3618,1.0867
7.2490,1.1000
7.2422,1.1133
7.2353,1.1267
7.2284,1.1400
7.2215,1.1533
7.2146,1.1667
7.2077,1.1800
7.1914,1.1933
7.1667,1.1993
7.1109,1.2067
7.1035,1.2200
7.0958,1.2333
7.0879,1.2467
7.0800,1.2600
7.0721,1.2733
7.0642,1.2867
7.0563,1.3000
7.0484,1.3133
7.0406,1.3267
7.0327,1.3400
7.0248,1.3533
7.0169,1.3667
7.0090,1.3800
7.0011,1.3933
6.9932,1.4067
6.9853,1.4200
6.9774,1.4333
